debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,embed_url,transcript
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,MSNBCW_20160927_100000_Morning_Joe,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Morning_Joe,"09/27/2016 11:07:11",5632.9,4031.4,27.700000000001,https://archive.org/details/MSNBCW_20160927_100000_Morning_Joe#start/4031.4/end/4059.1,https://archive.org/embed/MSNBCW_20160927_100000_Morning_Joe?start=4029.4&end=4061.1,"THEY'RE NOT PAYING? ALL YOU HAVE TO DO IS SPEAK TO THEM. WAIT YOU HAVE SO MANY DIFFERENT THINGS YOU HAVE TO BE ABLE TO DO AND I DON'T BELIEVE THAT HILLARY HAS THE STAMINA. >> LET'S LET HER RESPOND. >> WELL AS SOON AS HE TRAVELS TO 112 COUNTRIES AND NEGOTIATES A PEACE DEAL A CEASE-FIRE A RELEASE OF DISSIDENTS AN OPENING OF NEW OPPORTUNITIES IN NATIONS AROUND THE WORLD, OR EVEN SPENDS"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,MSNBCW_20160927_100000_Morning_Joe,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Morning_Joe,"09/27/2016 11:07:47",5713.7,4067.8,41.4,https://archive.org/details/MSNBCW_20160927_100000_Morning_Joe#start/4067.8/end/4109.2,https://archive.org/embed/MSNBCW_20160927_100000_Morning_Joe?start=4065.8&end=4111.2,"BUT THIS IS A MAN WHO HAS CALLED WOMEN PIGS SLOBS, AND DOGS AND SOMEONE WHO HAS SAID PREGNANCY IS AN INCONVENIENCE TO EMPLOYERS. WHO HAS SAID -- >> I NEVER SAID THAT. >> WHO HAVE SAID WOMEN DESERVE EQUAL PAY UNLESS THEY DO AS GOOD A JOB AS MEN. >> DIDN'T SAY. >> AND ONE OF THE WORST THINGS HE SAID WAS ABOUT A WOMAN IN A BEAUTY CONTEST. HE LOVES BEAUTY CONTESTS SUPPORTING THEM AND HANGING AROUND THEM. AND HE CALLED THIS WOMAN MISS PIGGY. THEN HE CALLED HER MISS HOUSEKEEPING BECAUSE SHE WAS LATINA. DONALD SHE HAS A NAME. >> WHERE DID YOU FIND THIS?"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,MSNBCW_20160927_100000_Morning_Joe,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Morning_Joe,"09/27/2016 11:39:59",5731.9,5999.8,24.8,https://archive.org/details/MSNBCW_20160927_100000_Morning_Joe#start/5999.8/end/6024.6,https://archive.org/embed/MSNBCW_20160927_100000_Morning_Joe?start=5997.8&end=6026.6,"A JOB AS MEN. >> DIDN'T SAY. >> AND ONE OF THE WORST THINGS HE SAID WAS ABOUT A WOMAN IN A BEAUTY CONTEST. HE LOVES BEAUTY CONTESTS SUPPORTING THEM AND HANGING AROUND THEM. AND HE CALLED THIS WOMAN MISS PIGGY. THEN HE CALLED HER MISS HOUSEKEEPING BECAUSE SHE WAS LATINA. DONALD SHE HAS A NAME. >> WHERE DID YOU FIND THIS? WHERE DID YOU FIND"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,MSNBCW_20160927_100000_Morning_Joe,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Morning_Joe,"09/27/2016 10:19:28",5767,1168.5,59.8,https://archive.org/details/MSNBCW_20160927_100000_Morning_Joe#start/1168.5/end/1228.3,https://archive.org/embed/MSNBCW_20160927_100000_Morning_Joe?start=1166.5&end=1230.3,">> MR. TRUMP, TEN SECONDS THEN WE'LL HAVE THE FINAL QUESTION. >> YOU KNOW HILLARY IS HITTING ME WITH TREMENDOUS COMMERCIALS. SOME OF IT'S SAID IN ENTERTAINMENT, SOME OF IT SAID SOMEBODY WHO'S BEEN VERY VICIOUS TO ME ROSIE O'DONNELL, I SAID VERY TOUGH THINGS TO HER AND I THINK EVERYBODY WOULD AGREE THAT SHE DESERVES IT AND NOBODY FEELS SORRY FOR HER. BUT YOU WANT TO KNOW THE TRUTH? I WAS GOING TO SAY SOMETHING -- >> PLEASE, VERY QUICK. >> -- EXTREMELY ROUGH TO HILLARY, TO HER FAMILY AND I SAID TO MYSELF I CAN'T DO IT. I JUST CAN'T DO IT. IT'S INAPPROPRIATE. IT'S NOT NICE. BUT SHE SPENT HUNDREDS OF MILLIONS OF DOLLARS ON NEGATIVE ADS ON ME. MANY OF WHICH ARE ABSOLUTELY UNTRUE THEY'RE UNTRUE AND MISREPRESENTATIONS. I WILL FELL YOU THIS LESTER. IT'S NOT NICE AND I DON'T -- I DON'T DESERVE THAT BUT IT'S CERTAINLY NOT A NICE THING THAT SHE'S DONE. IT'S HUNDREDS OF MILLIONS OF ADS AND THE ONLY GRATIFYING THING IS I SAW THE POLLS COME IN TODAY AND WITH ALL OF THAT"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:08:44",671.9,524,11.5,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/524/end/535.5,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=522&end=537.5,"FORTH WOULD BE TRICKLE-DOWN ECONOMICS ALL OVER AGAIN, IN FACT IT WOULD BE THE MOST EXTREME VERSION, THE BIGGEST TAX CUTS"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:01:03",704.6,63,5.9,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/63/end/68.9,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=60&end=71.9,"I UNDERSTAND THAT. YOU KNOW DONALD WAS VERY FORTUNATE IN HIS LIFE AND THAT'S ALL TO"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:01:12",772.4,72.2,5.9,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/72.2/end/78.1,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=69.2&end=81.1,"START ON THAT MY FATHER GAVE ME A VERY SMALL LOAN IN 1975 AND I BUILT IT INTO A COMPANY THAT'S WORTH"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:56:43",830.1,3403.6,5.2,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/3403.6/end/3408.8,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=3400.6&end=3411.8,"NOW, IN ALL FAIRNESS TO SECRETARY CLINTON,"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:08:57",1156.3,537.4,4.5,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/537.4/end/541.9,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=534.4&end=544.9,"THEY'RE GONE. AND HILLARY, I JUST ASK YOU THIS YOU'VE"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:09:11",1180.9,551,9.7,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/551/end/560.7,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=549&end=562.7,">> I HAVE -- WELL, NOT QUITE THAT LONG. I THINK MY HUSBAND DID A PRETTY GOOD JOB IN THE 1990s. I THINK A LOT ABOUT WHAT WORKED AND HOW --"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:09:22",1266.2,562.8,3.7,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/562.8/end/566.5,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=558.8&end=570.5,">> YOU HAVEN'T DONE IT. YOU HAVEN'T DONE IT."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:09:36",1290.2,576,24.1,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/576/end/600.1,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=574&end=602.1,"NAF NAFTA IS THE WORST TRADE DEAL SIGNED ANYWHERE IN THIS COUNTRY. NOW YOU WANT TO APPROVE TRANS-PACIFIC PARTNERSHIP. YOU WERE TOTALLY IN FAVOR OF IT THEN HEARD WHAT I WAS SAYING HOW BAD IT IS AND SAID I CAN'T WIN THAT DEBATE. YUAN IF YOU YOU KNOW IF YOU DID WIN, YOU WOULD AWEPPROVE THAT AND ALMOST BE AS BAD AS NAFTA. NOTHING WILL TOP NANAFA. >> THAT IS NOT"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:01:30",1325,90.3,3.2,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/90.3/end/93.5,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=86.3&end=97.5,"STANDARD OF TRADE DEALS. SAID IT WAS THE FINEST DEAL YOU'VE EVER SEEN."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:18:26",1540.7,1106.2,21.1,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/1106.2/end/1127.3,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=1104.2&end=1129.3,"YOU KNOW WHAT IT'S NO DIFFERENT THAN THIS. SHE'S TELLING US HOW TO FIGHT ISIS. GO TO HER WEBSITE. SHE TELLS YOU HOW TO FIGHT ISIS ON HER WEBSITE. I DON'T THINK GENERAL DOUGLAS MacARTHUR WOULD LIKE THAT TOO MUCH. >> THE NEXT SEGMENT -- >> AT LEAST I HAVE A PLAN TO FIGHT ISIS. >> NO NO, YOU'RE TELLING THE ENEMY EVERYTHING I WANT TO DO. >> NO WE'RE NOT. >> SEE, YOU TELLING THE ENEMY EVERYTHING"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:01:43",1684,103.4,22.3,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/103.4/end/125.7,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=101.4&end=127.7,"INNER CITIES AND LOTS OF OTHER THINGS AND IT WOULD BE BEAUTIFUL BUT WE HAVE NO LEADERSHIP AND HONESTLY THAT STARTS WITH SECRETARY CLINTON. >> ALL RIGHT. YOU HAVE IS TWO MINUTES OF THE SAME QUESTION TO DEFEND TAX INCREASES ON THE WEALTHIEST AMERICANS, SECRETARY CLINTON. >> I HAVE A FEELING BY THE END OF THIS EVENING I'M GOING TO BE BLAMED FOR EVERYTHING THAT'S EVER HAPPENED. >> WHY NOT. >> WHY NOT, YEAH. WHY NOT."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:56:50",1694.9,3410.6,4.8,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/3410.6/end/3415.4,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=3407.6&end=3418.4,"QUESTION TO DEFEND TAX INCREASES ON THE WEALTHIEST AMERICANS, SECRETARY CLINTON. >> I HAVE A FEELING BY"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,FOXNEWSW_20160927_160000_Outnumbered,FOXNEWSW,"FOX News",SF/Oakland/SJ,cable,Outnumbered,"09/27/2016 16:01:37",1823.1,97.4,4.7,https://archive.org/details/FOXNEWSW_20160927_160000_Outnumbered#start/97.4/end/102.1,https://archive.org/embed/FOXNEWSW_20160927_160000_Outnumbered?start=94.4&end=105.1,"TOP. >> MR. TRUMP -- >> TYPICAL POLITICIAN. ALL TALK NO ACTION."
