start_second,duration,coverage_count,programs,match_url,transcript
662,5,3,"FOXNEWSW_20161020_080000_Fox_and_Friends_First, CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_090000_Fox_and_Friends_First",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/662/end/667,"CAN BE AND MUST BE REASONABLE REGULATION. BECAUSE I SUPPORT THE 2nd AMENDMENT DOESN'T MEAN THAT I"
667,2,2,"FOXNEWSW_20161020_080000_Fox_and_Friends_First, CSPAN_20161020_110000_Washington_Journal",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/667/end/669,"AMENDMENT DOESN'T MEAN THAT I WANT PEOPLE WHO SHOULDN'T HAVE"
669,4,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/669/end/673,"WANT PEOPLE WHO SHOULDN'T HAVE GUNS TO BE ABLE TO THREATEN YOU KILL YOU OR MEMBERS OF YOUR"
673,3,2,"CNNW_20161020_023000_Debate_Night_in_America, CSPAN_20161020_110000_Washington_Journal",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/673/end/676,"KILL YOU OR MEMBERS OF YOUR FAMILY. SO, WHEN I THINK ABOUT WHAT WE NEED TO DO, WE HAVE 33000"
676,47,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/676/end/723,"NEED TO DO, WE HAVE 33000 PEOPLE A YEAR WHO DIE FROM GUNS. I THINK WE NEED COMPREHENSIVE BACKGROUND CHECKS, NEED TO CLOSE THE ONLINE LOOPHOLE, CLOSE THE GUN SHOW LOOPHOLE, THERE'S OTHER MATTERS THAT I THINK ARE SENSIBLE, THAT ARE THE KIND OF REFORMS THAT WOULD MAKE A DIFFERENCE. THAT ARE NOT IN ANY WAY CONFLICTING WITH THE 2nd AMENDMENT. YOU MENTIONED HOWARD DECISION WHAT I WAS SAYING, THAT YOU REFERENCED, CHRIS, WAS THAT I DISAGREED WITH THE WAY THE COURT APPLIED THE 2nd AMENDMENT IN THAT CASE. BECAUSE WHAT THE DISTRICT OF COLUMBIA WAS TRYING TO DO WAS TO PROTECT TODDLERS FROM GUNS. AND SO THEY WANTED PEOPLE WITH GUNS TO SAFELY STORE THEM. AND THE COURT DIDN'T ACCEPT THAT"
754,13,2,"BLOOMBERG_20161020_210000_With_All_Due_Respect, MSNBCW_20161020_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/754/end/767,"YOU MAY DISAGREE ON REGULATION SHE SUPPORTS A 2nd AMENDMENT RIGHT TO BEAR LAWS. >> THE DC VERSUS TELLER DEVISION WAS VERY STRONGLY AND SHE WAS EXTREMELY ANGRY ABOUT IT. I WATCHED. SHE WAS VERY, VERY ANGRY WHEN"
855,10,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/855/end/865,">>  LET ME JUST TELL YOU BEFORE WE GO ANY FURTHER IN CHICAGO, WHICH HAS THE TOUGHEST GUN LAWS IN THE UNITED STATES, PROBABLY YOU COULD SAY BY FAR THEY HAVE MORE GUN VIOLENCE THAN ANY OTHER CITY."
865,10,2,"FBC_20161020_180000_The_Intelligence_Report_With_Trish_Regan, CSPAN_20161020_110000_Washington_Journal",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/865/end/875,"CITY. SO, WE HAVE THE TOUGHEST LAWS AND YOU HAVE TREMENDOUS GUN VIOLENCE. I AM A VERY STRONG SUPPORTER OF THE 2nd AMENDMENT, I DON'T KNOW IF HILLARY WAS SAYING IT IN"
875,13,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/875/end/888,"SARCASTIC MANNER BUT I'M PROUD TO HAVE THE ENDORSEMENT OF THE NRA IS EARLIEST ENDORSEMENT IF HE OF THIS EVER GIVEN ANYBODY WHO RAN FOR PRESIDENT. I'M VERY HONORED BY ALL OF THAT. WE ARE GOING TO APPOINT"
888,1,2,"CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_090000_Fox_and_Friends_First",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/888/end/889,
