start_second,duration,coverage_count,programs,match_url,transcript
1137,1,2,"FOXNEWSW_20161010_010000_Presidential_Candidates_Debate, FOXNEWSW_20161010_030000_The_Kelly_File",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1137/end/1138,"SHOULD BE ASHAMED OF HERSELF, IF"
1138,1,1,FOXNEWSW_20161010_010000_Presidential_Candidates_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1138/end/1139,"SHOULD BE ASHAMED OF HERSELF, IF YOU WANT TO KNOW THE TRUTH."
1147,3,7,"FBC_20161010_100000_Mornings_With_Maria_Bartiromo, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1147/end/1150,"MINUTES. >> WELL, FIRST, LET ME START BY"
1150,2,8,"CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1150/end/1152,"SAYING, SO MUCH OF WHAT HE'S"
1152,1,7,"CNNW_20161010_023500_Debate_Night_in_America, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1152/end/1153,"SAYING, SO MUCH OF WHAT HE'S JUST SAID IS NOT RIGHT BUT HE"
1153,4,8,"CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1153/end/1157,"JUST SAID IS NOT RIGHT BUT HE GETS TO RUN HIS CAMPAIGN ANYWAY HE CHOOSES. GETS TO DECIDE WHAT HE WANTS TO"
1157,1,7,"CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1157/end/1158,"HE CHOOSES. GETS TO DECIDE WHAT HE WANTS TO TALK ABOUT."
1158,10,4,"CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_090000_New_Day",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1158/end/1168,"TALK ABOUT. INSTEAD OF ANSWERING PEOPLE'S QUESTIONS, TALKING ABOUT OUR AGENDA, LAYING OUT THE PLANS THAT WE HAVE THAT WE THINKING MAKE A BETTER LIFE AND A BETTER"
1168,1,11,"FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, CNNW_20161010_090000_New_Day, FOXNEWSW_20161010_210000_The_Five, MSNBCW_20161010_170000_MSNBC_Live, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1168/end/1169,"MAKE A BETTER LIFE AND A BETTER"
1169,1,18,"FBC_20161010_090000_FBN_AM, FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20161010_010000_Presidential_Candidates_Debate, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, FOXNEWSW_20161010_210000_The_Five, MSNBCW_20161010_170000_MSNBC_Live, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1169/end/1170,COUNTRY.
1170,3,22,"FBC_20161010_090000_FBN_AM, FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20161010_010000_Presidential_Candidates_Debate, FOXNEWSW_20161010_060000_Presidential_Candidates_Debate, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, CNNW_20161010_100000_New_Day, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello, CNNW_20161010_120000_New_Day, FOXNEWSW_20161010_210000_The_Five, MSNBCW_20161010_170000_MSNBC_Live, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1170/end/1173,"COUNTRY. THAT'S HIS CHOICE. WHEN I HEAR SOMETHING LIKE THAT,"
1173,1,23,"FBC_20161010_090000_FBN_AM, FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20161010_010000_Presidential_Candidates_Debate, FOXNEWSW_20161010_060000_Presidential_Candidates_Debate, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, CNNW_20161010_100000_New_Day, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello, CNNW_20161010_120000_New_Day, FOXNEWSW_20161010_210000_The_Five, CNBC_20161010_023000_American_Greed, MSNBCW_20161010_170000_MSNBC_Live, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1173/end/1174,"WHEN I HEAR SOMETHING LIKE THAT, I AM REMINDED OF WHAT MY FRIEND,"
