second,coverage_count,transcript,link
66,37,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/66/end/126
67,33,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/67/end/127
68,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/68/end/128
69,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/69/end/129
70,55,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/70/end/130
71,70,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/71/end/131
72,73,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/72/end/132
73,74,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/73/end/133
74,75,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/74/end/134
75,75,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/75/end/135
76,75,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/76/end/136
77,176,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/77/end/137
78,182,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/78/end/138
79,184,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/79/end/139
80,181,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/80/end/140
81,180,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/81/end/141
82,92,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/82/end/142
83,45,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/83/end/143
84,42,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/84/end/144
85,35,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/85/end/145
86,20,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/86/end/146
87,13,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/87/end/147
88,2,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/88/end/148
